,0.0,5.0,accuracy,macro avg,weighted avg
precision,0.698858075040783,0.9631159379675179,0.9407414423160404,0.8309870065041505,0.9385576998833117
recall,0.636714934816765,0.9718902409842984,0.9407414423160404,0.8043025879005317,0.9407414423160404
f1-score,0.6663407697093591,0.9674831958977201,0.9407414423160404,0.8169119828035396,0.9394971699846911
support,23549.0,229849.0,0.9407414423160404,253398.0,253398.0
