,0.0,5.0,accuracy,macro avg,weighted avg
precision,0.8270229814211499,0.9384904068791585,0.9132134870347692,0.8827566941501542,0.9122842703371349
recall,0.7976984160686229,0.9487185064977441,0.9132134870347692,0.8732084612831835,0.9132134870347692
f1-score,0.8120960594859824,0.9435767400903932,0.9132134870347692,0.8778363997881877,0.9126654612625225
support,70647.0,229849.0,0.9132134870347692,300496.0,300496.0
