,0.0,5.0,accuracy,macro avg,weighted avg
precision,0.8749703852289419,0.9366000801569389,0.923608614007751,0.9057852326929403,0.9221492722098104
recall,0.7866098686545971,0.9655710824928345,0.923608614007751,0.8760904755737158,0.923608614007751
f1-score,0.8284406825285261,0.9508649600178175,0.923608614007751,0.8896528212731718,0.9221591596056843
support,70425.0,229923.0,0.923608614007751,300348.0,300348.0
