,0.0,5.0,accuracy,macro avg,weighted avg
precision,0.9923520957519497,0.9458347134812852,0.9675912151365885,0.9690934046166175,0.968766003688143
recall,0.9415130949506871,0.9929453492769309,0.9675912151365885,0.967229222113809,0.9675912151365885
f1-score,0.9662643471158943,0.9688176580481402,0.9675912151365885,0.9675410025820173,0.9675589734206391
support,223674.0,230061.0,0.9675912151365885,453735.0,453735.0
