,0.0,5.0,accuracy,macro avg,weighted avg
precision,0.9806602139953701,0.9623331668736742,0.9711968439728035,0.9714966904345221,0.971381877533945
recall,0.9606070751032251,0.9815245309303035,0.9711968439728035,0.9710658030167643,0.9711968439728035
f1-score,0.9705300708730485,0.9718341124264818,0.9711968439728035,0.9711820916497651,0.9711902610396417
support,224025.0,229710.0,0.9711968439728035,453735.0,453735.0
